participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,participantprolific_id,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigname,sessionconfigparticipation_fee,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,session
14,sg6xa4lo,62e023ed4b0fdb8c95a9e47f,0,18,20,main,Code,2025-12-18 17:55:02.226795,1,,,2.5,62e023ed4b0fdb8c95a9e47f,jax0jask,,,,,0,1,your_experiment,0,60,,0,1,20,32,5,20,,,1,1,60,,2.5,11,8,5,2,3,3,2,3,1,3,4,1,4,8,8,8,8,8,,,Right,,1,1,60,,0,1,1,60,,0,1,1,1000 sample
15,on3bh4ix,5ee5defbfe74a3000d106f51,0,19,20,end,End,2025-12-18 17:55:02.589030,1,,,1.5,5ee5defbfe74a3000d106f51,jax0jask,,,,,0,1,your_experiment,0,61,,0,1,67,82,66,67,,,1,1,61,,1.5,9,8,3,2,3,4,2,3,3,3,2,8,8,8,8,8,8,8,,,Right,,1,1,61,,0,1,1,61,,0,1,1,1000 sample
16,j48xkdyq,5f5a07190adc3903dfa338e5,0,18,20,main,Code,2025-12-18 17:55:04.071855,1,,,1.5,5f5a07190adc3903dfa338e5,jax0jask,,,,,0,1,your_experiment,0,63,,0,1,83,67,18,83,,,1,1,63,,1.5,9,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Right,,1,1,63,,0,1,1,63,,0,1,1,1000 sample
17,h0reki4w,5dc486da84799a35fbede98d,0,19,20,end,End,2025-12-18 17:55:05.390078,1,,,3,5dc486da84799a35fbede98d,jax0jask,,,,,0,1,your_experiment,0,64,,0,1,46,36,93,46,,,1,1,64,,3,15,8,6,2,3,3,1,3,1,3,2,6,2,4,8,8,8,8,,,Right,,1,1,64,,0,1,1,64,,0,1,1,1000 sample
18,5cwe104i,5bb5f664ac45e6000130ab69,0,19,20,end,End,2025-12-18 17:55:13.047522,1,,,2.5,5bb5f664ac45e6000130ab69,jax0jask,,,,,0,1,your_experiment,0,68,,0,1,57,33,68,57,,,1,1,68,,2.5,11,8,7,2,4,3,1,3,3,3,2,6,2,1,6,4,3,8,,,Right,,1,1,68,,0,1,1,68,,0,1,1,1000 sample
19,w92dbwud,573a34f614f69e000d7d670f,0,19,20,end,End,2025-12-18 17:55:14.042724,1,,,3,573a34f614f69e000d7d670f,jax0jask,,,,,0,1,your_experiment,0,70,,0,1,37,75,9,37,,,1,1,70,,3,12,8,3,2,2,1,3,1,1,3,7,4,2,3,4,2,1,2,,,Right,,1,1,70,,0,1,1,70,,0,1,1,1000 sample
20,7ff53kaz,5c180a3ac59c17000167491e,0,19,20,end,End,2025-12-18 17:55:20.009502,1,,,3,5c180a3ac59c17000167491e,jax0jask,,,,,0,1,your_experiment,0,72,,0,1,64,80,19,64,,,1,1,72,,3,12,8,4,3,1,1,1,3,3,3,7,3,8,8,8,8,8,8,,,Right,,1,1,72,,0,1,1,72,,0,1,1,1000 sample
21,u7dstjsp,5d41d708128a05000183c461,0,19,20,end,End,2025-12-18 17:55:32.986830,1,,,1.5,5d41d708128a05000183c461,jax0jask,,,,,0,1,your_experiment,0,77,,0,1,2,83,61,2,,,1,1,77,,1.5,9,8,6,2,1,3,1,3,1,7,2,7,5,7,4,8,8,8,,,Right,,1,1,77,,0,1,1,77,,0,1,1,1000 sample
22,5zamcfj6,63076cd447ae6e2366804685,0,18,20,main,Code,2025-12-18 17:55:42.314645,1,,,3,63076cd447ae6e2366804685,jax0jask,,,,,0,1,your_experiment,0,81,,0,1,75,58,37,75,,,1,1,81,,3,13,8,5,2,4,3,1,3,1,3,7,8,8,8,8,8,8,8,,,Right,,1,1,81,,0,1,1,81,,0,1,1,1000 sample
23,jbsgutxp,648389c81becc3ac1ef1abae,0,18,20,main,Code,2025-12-18 17:55:52.605585,1,,,2.5,648389c81becc3ac1ef1abae,jax0jask,,,,,0,1,your_experiment,0,84,,0,1,97,30,22,97,,,1,1,84,,2.5,11,8,8,2,3,3,1,3,3,3,4,6,7,8,8,8,8,8,,,Right,,1,1,84,,0,1,1,84,,0,1,1,1000 sample
24,0elop1rq,5ac8a695e1099600016aaae4,0,19,20,end,End,2025-12-18 17:55:53.072812,1,,,3,5ac8a695e1099600016aaae4,jax0jask,,,,,0,1,your_experiment,0,86,,0,1,57,80,20,57,,,1,1,86,,3,13,8,8,2,3,3,1,3,5,3,2,6,4,3,6,4,4,4,,,Right,,1,1,86,,0,1,1,86,,0,1,1,1000 sample
25,pp4o3ssv,66bf59da77f200a4a75a7b62,0,19,20,end,End,2025-12-18 17:55:55.549541,1,,,1.5,66bf59da77f200a4a75a7b62,jax0jask,,,,,0,1,your_experiment,0,89,,0,1,36,55,72,36,,,1,1,89,,1.5,9,8,6,2,2,3,1,3,5,3,4,8,8,8,8,8,8,8,,,Right,,1,1,89,,0,1,1,89,,0,1,1,1000 sample
26,hb1vg2pd,604516dcb387435f27f3ed6f,0,19,20,end,End,2025-12-18 17:55:56.162404,1,,,3,604516dcb387435f27f3ed6f,jax0jask,,,,,0,1,your_experiment,0,90,,0,1,27,27,45,27,,,1,1,90,,3,14,8,8,2,3,3,1,3,1,3,4,6,4,8,6,8,8,8,,,Right,,1,1,90,,0,1,1,90,,0,1,1,1000 sample
27,x0pwwwou,601fd27860b197531ca7bdcc,0,19,20,end,End,2025-12-18 17:58:35.440472,1,,,3,601fd27860b197531ca7bdcc,jax0jask,,,,,0,1,your_experiment,0,102,,0,1,62,58,75,62,,,1,1,102,,3,15,8,2,3,3,4,1,3,1,4,3,7,2,4,2,4,8,8,,,Right,,1,1,102,,0,1,1,102,,0,1,1,1000 sample
28,3wgx6mvv,6697cf02d714e7ee3fdedcec,0,19,20,end,End,2025-12-18 18:00:27.274057,1,,,3,6697cf02d714e7ee3fdedcec,jax0jask,,,,,0,1,your_experiment,0,103,,0,1,5,27,0,5,,,1,1,103,,3,12,8,8,2,1,3,1,3,5,3,4,6,4,7,2,7,8,8,,,Right,,1,1,103,,0,1,1,103,,0,1,1,1000 sample
29,huz690fz,5f906d9892b0ac120238830b,0,18,20,main,Code,2025-12-18 18:04:21.779884,1,,,1.5,5f906d9892b0ac120238830b,jax0jask,,,,,0,1,your_experiment,0,107,,0,1,30,36,60,30,,,1,1,107,,1.5,9,8,6,2,1,4,1,3,1,5,4,5,4,4,5,5,8,8,,,Right,,1,1,107,,0,1,1,107,,0,1,1,1000 sample
30,984dq5hc,64455cfdcc83f30266ad2345,0,19,20,end,End,2025-12-18 18:04:26.314998,1,,,3,64455cfdcc83f30266ad2345,jax0jask,,,,,0,1,your_experiment,0,111,,0,1,73,0,65,73,,,1,1,111,,3,12,8,5,2,1,2,1,3,1,3,7,5,3,3,2,7,4,1,,,Right,,1,1,111,,0,1,1,111,,0,1,1,1000 sample
31,hobvbtdk,63cd461c5f597e27b2a054fb,0,19,20,end,End,2025-12-18 18:04:33.686009,1,,,2.5,63cd461c5f597e27b2a054fb,jax0jask,,,,,0,1,your_experiment,0,113,,0,1,63,33,4,63,,,1,1,113,,2.5,11,8,5,2,1,3,1,3,3,8,8,8,8,8,8,8,8,8,,,Right,,1,1,113,,0,1,1,113,,0,1,1,1000 sample
32,nnm1oh9t,6717a695635ae7f7518a1ad4,0,19,20,end,End,2025-12-18 18:05:07.975553,1,,,2,6717a695635ae7f7518a1ad4,jax0jask,,,,,0,1,your_experiment,0,120,,0,1,76,27,30,76,,,1,1,120,,2,10,8,7,2,4,3,1,3,1,3,5,6,7,8,4,2,4,6,,,Right,,1,1,120,,0,1,1,120,,0,1,1,1000 sample
33,wv6cikxa,59a7cfeb7ff2320001ec59d9,0,19,20,end,End,2025-12-18 18:05:12.242182,1,,,3,59a7cfeb7ff2320001ec59d9,jax0jask,,,,,0,1,your_experiment,0,121,,0,1,3,74,79,18,74,,1,1,121,,3,12,8,5,2,1,3,1,3,8,8,8,8,8,8,8,8,8,8,,,Left,,1,1,121,,0,1,1,121,,0,1,1,1000 sample
34,gj27ws6p,57160a57cd6ea20011dae249,0,19,20,end,End,2025-12-18 18:05:26.159916,1,,,3,57160a57cd6ea20011dae249,jax0jask,,,,,0,1,your_experiment,0,124,,0,1,67,79,38,67,,,1,1,124,,3,15,8,9,2,2,3,1,3,5,3,4,6,7,1,6,3,7,8,,,Right,,1,1,124,,0,1,1,124,,0,1,1,1000 sample
35,mtnk7qtu,5fbf90f025a567296d943c7e,0,19,20,end,End,2025-12-18 18:05:36.663543,1,,,2.5,5fbf90f025a567296d943c7e,jax0jask,,,,,0,1,your_experiment,0,131,,0,1,18,84,82,18,,,1,1,131,,2.5,11,8,6,2,2,3,1,3,3,3,2,7,5,3,8,8,8,8,,,Right,,1,1,131,,0,1,1,131,,0,1,1,1000 sample
36,6n1ib845,60fcb280d58f26d33cb004a6,0,19,20,end,End,2025-12-18 18:05:39.320443,1,,,3,60fcb280d58f26d33cb004a6,jax0jask,,,,,0,1,your_experiment,0,132,,0,1,22,6,91,22,,,1,1,132,,3,12,8,6,2,3,3,1,3,3,3,2,2,2,3,6,1,7,8,,,Right,,1,1,132,,0,1,1,132,,0,1,1,1000 sample
37,xf94cnm7,6136268099d74b519c1c9287,0,19,20,end,End,2025-12-18 18:05:46.237493,1,,,1.5,6136268099d74b519c1c9287,jax0jask,,,,,0,1,your_experiment,0,136,,0,1,66,79,68,66,,,1,1,136,,1.5,9,8,7,2,3,3,1,3,3,3,4,6,8,8,8,8,8,8,,,Left,,1,1,136,,0,1,1,136,,0,1,1,1000 sample
38,vfvekxnn,65270f12e13d598538a8340b,0,19,20,end,End,2025-12-18 18:05:48.823109,1,,,2.5,65270f12e13d598538a8340b,jax0jask,,,,,0,1,your_experiment,0,137,,0,1,24,99,60,24,,,1,1,137,,2.5,11,8,7,2,2,3,1,3,3,3,4,6,4,8,8,8,8,8,,,Left,,1,1,137,,0,1,1,137,,0,1,1,1000 sample
39,k8zeygjo,56504ecf1b3cda000f544e92,0,19,20,end,End,2025-12-18 18:06:00.753967,1,,,1.5,56504ecf1b3cda000f544e92,jax0jask,,,,,0,1,your_experiment,0,143,,0,1,64,93,28,64,,,1,1,143,,1.5,9,8,6,2,1,3,1,3,3,3,5,3,2,8,8,8,8,8,,,Right,,1,1,143,,0,1,1,143,,0,1,1,1000 sample
40,mng1s6tm,6310c063bd0cce86b0289d20,0,19,20,end,End,2025-12-18 18:06:19.814178,1,,,3,6310c063bd0cce86b0289d20,jax0jask,,,,,0,1,your_experiment,0,150,,0,1,79,95,34,79,,,1,1,150,,3,15,8,7,2,2,3,1,3,1,3,4,2,2,5,4,2,6,8,,,Right,,1,1,150,,0,1,1,150,,0,1,1,1000 sample
41,vomy3vti,6277fb597942c07d74b16b98,0,19,20,end,End,2025-12-18 18:06:20.382806,1,,,3,6277fb597942c07d74b16b98,jax0jask,,,,,0,1,your_experiment,0,151,,0,1,45,44,42,45,,,1,1,151,,3,12,8,7,2,1,3,1,3,3,3,5,6,8,8,8,8,8,8,,,Right,,1,1,151,,0,1,1,151,,0,1,1,1000 sample
42,3oqgscch,5e8f8ebc09b58f28c329da6f,0,19,20,end,End,2025-12-18 18:06:41.270004,1,,,3,5e8f8ebc09b58f28c329da6f,jax0jask,,,,,0,1,your_experiment,0,155,,0,1,24,62,30,24,,,1,1,155,,3,12,8,7,2,1,3,1,3,5,3,4,8,3,2,3,8,8,8,,,Right,,1,1,155,,0,1,1,155,,0,1,1,1000 sample
43,kmdjbu68,5edfeebaecf5a0318788d731,0,19,20,end,End,2025-12-18 18:06:45.619803,1,,,2.5,5edfeebaecf5a0318788d731,jax0jask,,,,,0,1,your_experiment,0,159,,0,1,56,93,32,56,,,1,1,159,,2.5,11,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Left,,1,1,159,,0,1,1,159,,0,1,1,1000 sample
44,f7m85jp7,5e904f36cc3d6c355bbf48fa,0,19,20,end,End,2025-12-18 18:07:01.668273,1,,,3,5e904f36cc3d6c355bbf48fa,jax0jask,,,,,0,1,your_experiment,0,166,,0,1,81,55,42,81,,,1,1,166,,3,12,8,5,2,2,1,1,3,1,3,4,8,8,8,8,8,8,8,,,Right,,1,1,166,,0,1,1,166,,0,1,1,1000 sample
45,o0km547u,673dbbee9983e0d8084c8a76,0,19,20,end,End,2025-12-18 18:07:10.928820,1,,,2,673dbbee9983e0d8084c8a76,jax0jask,,,,,0,1,your_experiment,0,170,,0,1,27,37,30,27,,,1,1,170,,2,10,8,5,2,1,1,1,3,3,3,5,8,8,8,8,8,8,8,,,Right,,1,1,170,,0,1,1,170,,0,1,1,1000 sample
46,rb1qtuwa,5c81582c4c1a61000155584f,0,19,20,end,End,2025-12-18 18:07:39.021900,1,,,3,5c81582c4c1a61000155584f,jax0jask,,,,,0,1,your_experiment,0,174,,0,1,20,43,29,20,,,1,1,174,,3,15,8,7,2,1,3,1,3,3,7,4,6,8,8,8,8,8,8,,,Right,,1,1,174,,0,1,1,174,,0,1,1,1000 sample
47,x6d0w0oy,5defac7e56b506000cdd3b32,0,19,20,end,End,2025-12-18 18:08:10.480237,1,,,3,5defac7e56b506000cdd3b32,jax0jask,,,,,0,1,your_experiment,0,179,,0,1,98,20,9,98,,,1,1,179,,3,12,8,9,2,1,3,1,3,1,3,5,6,4,7,6,5,8,8,,,Left,,1,1,179,,0,1,1,179,,0,1,1,1000 sample
48,ca94dw0f,612f350052a72eaeac5b9703,0,19,20,end,End,2025-12-18 18:08:19.081425,1,,,2,612f350052a72eaeac5b9703,jax0jask,,,,,0,1,your_experiment,0,181,,0,1,99,0,0,99,,,1,1,181,,2,10,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Left,,1,1,181,,0,1,1,181,,0,1,1,1000 sample
49,um5wd7op,5ea02ae8b0f7a9000c5ca058,0,19,20,end,End,2025-12-18 18:08:22.427373,1,,,1.5,5ea02ae8b0f7a9000c5ca058,jax0jask,,,,,0,1,your_experiment,0,182,,0,1,32,93,60,32,,,1,1,182,,1.5,9,8,8,2,3,3,1,3,3,3,4,3,2,7,6,5,8,8,,,Right,,1,1,182,,0,1,1,182,,0,1,1,1000 sample
50,ijnm5igm,57fde8979c39b3000179e347,0,19,20,end,End,2025-12-18 18:08:38.889017,1,,,3,57fde8979c39b3000179e347,jax0jask,,,,,0,1,your_experiment,0,188,,0,1,8,55,35,8,,,1,1,188,,3,12,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Right,,1,1,188,,0,1,1,188,,0,1,1,1000 sample
51,eqhtrhhh,601171f52ffe110619bc0d93,0,19,20,end,End,2025-12-18 18:08:42.299981,1,,,1.5,601171f52ffe110619bc0d93,jax0jask,,,,,0,1,your_experiment,0,189,,0,1,20,44,95,20,,,1,1,189,,1.5,9,8,6,2,1,3,1,3,3,3,8,8,8,8,8,8,8,8,,,Left,,1,1,189,,0,1,1,189,,0,1,1,1000 sample
52,356kymxn,62e44bc8933fe0b9c7f8b12d,0,19,20,end,End,2025-12-18 18:08:44.411680,1,,,1.5,62e44bc8933fe0b9c7f8b12d,jax0jask,,,,,0,1,your_experiment,0,190,,0,1,66,59,36,66,,,1,1,190,,1.5,9,8,6,3,1,3,1,3,3,3,4,8,4,4,8,8,8,8,,,Right,,1,1,190,,0,1,1,190,,0,1,1,1000 sample
53,cyyy7gkg,5c3f9ae8ef1d0d0001b2d5e4,0,19,20,end,End,2025-12-18 18:08:59.014068,1,,,3,5c3f9ae8ef1d0d0001b2d5e4,jax0jask,,,,,0,1,your_experiment,0,194,,0,1,26,94,88,26,,,1,1,194,,3,14,8,7,2,1,3,1,3,3,3,4,8,8,8,8,8,8,8,,,Right,,1,1,194,,0,1,1,194,,0,1,1,1000 sample
54,w1pwqcpd,5efca85159e09c06e7d064ba,0,19,20,end,End,2025-12-18 18:09:02.704393,1,,,3,5efca85159e09c06e7d064ba,jax0jask,,,,,0,1,your_experiment,0,195,,0,1,22,44,34,22,,,1,1,195,,3,12,8,9,2,3,3,1,3,5,3,4,6,4,2,6,5,6,6,,,Right,,1,1,195,,0,1,1,195,,0,1,1,1000 sample
55,sowyxogw,60f2dd514eb84812f627fa7e,0,19,20,end,End,2025-12-18 18:09:18.875236,1,,,3,60f2dd514eb84812f627fa7e,jax0jask,,,,,0,1,your_experiment,0,198,,0,1,21,82,93,21,,,1,1,198,,3,13,8,5,2,2,3,1,3,3,5,4,8,6,7,8,8,8,8,,,Right,,1,1,198,,0,1,1,198,,0,1,1,1000 sample
56,4v5590ll,596a3b32670f410001fe95d9,0,19,20,end,End,2025-12-18 18:09:39.011747,1,,,2.5,596a3b32670f410001fe95d9,jax0jask,,,,,0,1,your_experiment,0,201,,0,1,66,60,43,66,,,1,1,201,,2.5,11,8,7,2,1,3,1,3,3,3,2,7,4,7,6,6,4,8,,,Right,,1,1,201,,0,1,1,201,,0,1,1,1000 sample
57,8mhm3lcv,5e36965ded5a2b62bf438768,0,19,20,end,End,2025-12-18 18:09:45.909905,1,,,3,5e36965ded5a2b62bf438768,jax0jask,,,,,0,1,your_experiment,0,202,,0,1,53,67,23,53,,,1,1,202,,3,12,8,7,2,1,3,1,3,3,3,5,6,4,8,2,8,8,8,,,Right,,1,1,202,,0,1,1,202,,0,1,1,1000 sample
58,4eg5hkex,590a361371adfd000150e4c2,0,19,20,end,End,2025-12-18 18:09:52.348050,1,,,2.5,590a361371adfd000150e4c2,jax0jask,,,,,0,1,your_experiment,0,204,,0,1,84,79,45,84,,,1,1,204,,2.5,11,8,7,2,1,3,1,3,3,3,2,6,8,8,8,8,8,8,,,Left,,1,1,204,,0,1,1,204,,0,1,1,1000 sample
59,1nrwc0kf,59ba64d06039190001eaaefe,0,19,20,end,End,2025-12-18 18:09:54.759492,1,,,1.5,59ba64d06039190001eaaefe,jax0jask,,,,,0,1,your_experiment,0,207,,0,1,91,68,67,91,,,1,1,207,,1.5,9,8,6,2,1,1,1,3,3,3,2,3,2,3,6,4,6,8,,,Right,,1,1,207,,0,1,1,207,,0,1,1,1000 sample
60,yfvu9e69,60cce9e5db3f76eabb186870,0,19,20,end,End,2025-12-18 18:09:56.822100,1,,,2.5,60cce9e5db3f76eabb186870,jax0jask,,,,,0,1,your_experiment,0,209,,0,1,60,51,75,60,,,1,1,209,,2.5,11,8,8,2,1,3,1,3,3,3,6,6,4,5,2,4,8,8,,,Left,,1,1,209,,0,1,1,209,,0,1,1,1000 sample
61,elzmrk4i,6762a1453b3bc252b8ea3bb8,0,19,20,end,End,2025-12-18 18:10:01.945563,1,,,3,6762a1453b3bc252b8ea3bb8,jax0jask,,,,,0,1,your_experiment,0,210,,0,1,26,43,74,26,,,1,1,210,,3,12,8,6,2,4,3,1,3,3,3,5,6,4,4,5,7,8,7,,,Right,,1,1,210,,0,1,1,210,,0,1,1,1000 sample
62,8fulde91,5be1b59a8425f6000141b942,0,19,20,end,End,2025-12-18 18:10:03.769825,1,,,3,5be1b59a8425f6000141b942,jax0jask,,,,,0,1,your_experiment,0,212,,0,1,17,37,69,17,,,1,1,212,,3,12,8,2,3,1,1,2,3,3,8,8,8,8,8,8,8,8,8,,,Right,,1,1,212,,0,1,1,212,,0,1,1,1000 sample
63,8t1qw10e,665ee374604d2c5d4d858efd,0,19,20,end,End,2025-12-18 18:10:10.789172,1,,,3,665ee374604d2c5d4d858efd,jax0jask,,,,,0,1,your_experiment,0,217,,0,1,58,76,20,58,,,1,1,217,,3,12,8,8,2,1,3,1,3,3,3,2,6,5,1,4,1,7,8,,,Right,,1,1,217,,0,1,1,217,,0,1,1,1000 sample
64,sdpw3tbc,67744dd5d793cc3d79ba38fc,0,19,20,end,End,2025-12-18 18:10:16.920982,1,,,3,67744dd5d793cc3d79ba38fc,jax0jask,,,,,0,1,your_experiment,0,219,,0,1,34,21,41,34,,,1,1,219,,3,12,8,6,2,1,3,1,3,1,3,8,8,8,8,8,8,8,8,,,Left,,1,1,219,,0,1,1,219,,0,1,1,1000 sample
